Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,16,248,111,0.9393939393939394,0.6908077994428969,0.6613333333333333,0.7961476725521669
0.2,47,217,142,0.821969696969697,0.6044568245125348,0.5344827586206896,0.6966292134831461
0.3,81,183,176,0.6931818181818182,0.5097493036211699,0.4159090909090909,0.5874799357945425
0.4,121,143,216,0.5416666666666666,0.3983286908077994,0.29791666666666666,0.4590690208667737
0.5,151,113,246,0.42803030303030304,0.3147632311977716,0.22156862745098038,0.36276083467094705
0.6,173,91,268,0.3446969696969697,0.25348189415041783,0.17105263157894737,0.29213483146067415
0.7,199,65,294,0.24621212121212122,0.181058495821727,0.11648745519713262,0.2086677367576244
0.8,218,46,313,0.17424242424242425,0.12813370473537605,0.07972270363951472,0.1476725521669342
0.9,252,12,347,0.045454545454545456,0.033426183844011144,0.019639934533551555,0.038523274478330656
