Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,1,42,1,0.9767441860465116,0.9767441860465116,0.9545454545454546,0.9767441860465116
0.2,1,42,1,0.9767441860465116,0.9767441860465116,0.9545454545454546,0.9767441860465116
0.3,1,42,1,0.9767441860465116,0.9767441860465116,0.9545454545454546,0.9767441860465116
0.4,1,42,1,0.9767441860465116,0.9767441860465116,0.9545454545454546,0.9767441860465116
0.5,2,41,2,0.9534883720930233,0.9534883720930233,0.9111111111111111,0.9534883720930233
0.6,4,39,4,0.9069767441860465,0.9069767441860465,0.8297872340425532,0.9069767441860465
0.7,7,36,7,0.8372093023255814,0.8372093023255814,0.72,0.8372093023255814
0.8,12,31,12,0.7209302325581395,0.7209302325581395,0.5636363636363636,0.7209302325581395
0.9,26,17,26,0.3953488372093023,0.3953488372093023,0.2463768115942029,0.3953488372093023
