Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,7,38,5,0.8444444444444444,0.8837209302325582,0.76,0.8636363636363636
0.2,8,37,6,0.8222222222222222,0.8604651162790697,0.7254901960784313,0.8409090909090909
0.3,10,35,8,0.7777777777777778,0.813953488372093,0.660377358490566,0.7954545454545454
0.4,10,35,8,0.7777777777777778,0.813953488372093,0.660377358490566,0.7954545454545454
0.5,18,27,16,0.6,0.627906976744186,0.4426229508196721,0.6136363636363636
0.6,26,19,24,0.4222222222222222,0.4418604651162791,0.2753623188405797,0.4318181818181818
0.7,37,8,35,0.17777777777777778,0.18604651162790697,0.1,0.18181818181818182
0.8,44,1,42,0.022222222222222223,0.023255813953488372,0.011494252873563218,0.022727272727272728
0.9,45,0,43,0.0,0.0,0.0,0.0
