Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,843,40,3,0.045300113250283124,0.9302325581395349,0.045146726862302484,0.08639308855291576
0.2,843,40,3,0.045300113250283124,0.9302325581395349,0.045146726862302484,0.08639308855291576
0.3,844,39,4,0.044167610419026046,0.9069767441860465,0.043968432919954906,0.08423326133909287
0.4,847,36,7,0.04077010192525481,0.8372093023255814,0.04044943820224719,0.07775377969762419
0.5,855,28,15,0.031710079275198186,0.6511627906976745,0.031180400890868598,0.06047516198704104
0.6,864,19,24,0.021517553793884484,0.4418604651162791,0.020948180815876516,0.04103671706263499
0.7,869,14,29,0.015855039637599093,0.32558139534883723,0.015350877192982455,0.03023758099352052
0.8,873,10,33,0.011325028312570781,0.23255813953488372,0.010917030567685589,0.02159827213822894
0.9,883,0,43,0.0,0.0,0.0,0.0
