Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,4,205,154,0.9808612440191388,0.5710306406685237,0.5647382920110193,0.721830985915493
0.2,16,193,166,0.9234449760765551,0.5376044568245125,0.5146666666666667,0.6795774647887324
0.3,53,156,203,0.7464114832535885,0.43454038997214484,0.3786407766990291,0.5492957746478874
0.4,90,119,240,0.569377990430622,0.33147632311977715,0.2650334075723831,0.41901408450704225
0.5,113,96,263,0.45933014354066987,0.26740947075208915,0.2033898305084746,0.3380281690140845
0.6,135,74,285,0.35406698564593303,0.20612813370473537,0.14979757085020243,0.2605633802816901
0.7,160,49,310,0.23444976076555024,0.13649025069637882,0.09441233140655106,0.17253521126760563
0.8,191,18,341,0.0861244019138756,0.05013927576601671,0.03272727272727273,0.06338028169014084
0.9,207,2,357,0.009569377990430622,0.005571030640668524,0.0035335689045936395,0.007042253521126761
