Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.2,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.3,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.4,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.5,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.6,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.7,6,34,9,0.85,0.7906976744186046,0.6938775510204082,0.8192771084337349
0.8,10,30,13,0.75,0.6976744186046512,0.5660377358490566,0.7228915662650602
0.9,32,8,35,0.2,0.18604651162790697,0.10666666666666667,0.1927710843373494
