Threshold,FP,TP,FN,Accuracy,F1
0.1,23.0,82.0,277.0,0.21465968586387435,0.35344827586206895
0.2,31.0,74.0,285.0,0.18974358974358974,0.31896551724137934
0.3,41.0,64.0,295.0,0.16,0.27586206896551724
0.4,48.0,57.0,302.0,0.14004914004914004,0.24568965517241378
0.5,56.0,49.0,310.0,0.1180722891566265,0.21120689655172414
0.6,65.0,40.0,319.0,0.09433962264150944,0.1724137931034483
0.7,71.0,34.0,325.0,0.07906976744186046,0.14655172413793102
0.8,77.0,28.0,331.0,0.06422018348623854,0.1206896551724138
0.9,97.0,8.0,351.0,0.017543859649122806,0.034482758620689655
