Threshold,FP,TP,FN,Accuracy,F1
0.1,10.0,181.0,28.0,0.8264840182648402,0.905
0.2,10.0,181.0,28.0,0.8264840182648402,0.905
0.3,13.0,178.0,31.0,0.8018018018018018,0.89
0.4,21.0,170.0,39.0,0.7391304347826086,0.85
0.5,25.0,166.0,43.0,0.7094017094017094,0.83
0.6,31.0,160.0,49.0,0.6666666666666666,0.8
0.7,42.0,149.0,60.0,0.5936254980079682,0.745
0.8,68.0,123.0,86.0,0.44404332129963897,0.615
0.9,126.0,65.0,144.0,0.19402985074626866,0.325
