Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,128,231,1.0,0.3565459610027855,0.3565459610027855,0.5256673511293635
0.2,11,117,242,0.9140625,0.32590529247910865,0.3162162162162162,0.4804928131416838
0.3,38,90,269,0.703125,0.25069637883008355,0.22670025188916876,0.36960985626283366
0.4,49,79,280,0.6171875,0.2200557103064067,0.19362745098039216,0.324435318275154
0.5,61,67,292,0.5234375,0.18662952646239556,0.1595238095238095,0.2751540041067762
0.6,77,51,308,0.3984375,0.14206128133704735,0.11697247706422019,0.20944558521560575
0.7,90,38,321,0.296875,0.10584958217270195,0.08463251670378619,0.15605749486652978
0.8,102,26,333,0.203125,0.07242339832869081,0.05639913232104121,0.10677618069815195
0.9,118,10,349,0.078125,0.027855153203342618,0.020964360587002098,0.04106776180698152
