Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,7,52,307,0.8813559322033898,0.14484679665738162,0.14207650273224043,0.24880382775119617
0.2,8,51,308,0.864406779661017,0.14206128133704735,0.13896457765667575,0.24401913875598086
0.3,8,51,308,0.864406779661017,0.14206128133704735,0.13896457765667575,0.24401913875598086
0.4,8,51,308,0.864406779661017,0.14206128133704735,0.13896457765667575,0.24401913875598086
0.5,10,49,310,0.8305084745762712,0.13649025069637882,0.13279132791327913,0.23444976076555024
0.6,17,42,317,0.711864406779661,0.116991643454039,0.11170212765957446,0.20095693779904306
0.7,24,35,324,0.5932203389830508,0.09749303621169916,0.09138381201044386,0.1674641148325359
0.8,43,16,343,0.2711864406779661,0.04456824512534819,0.03980099502487562,0.07655502392344497
0.9,56,3,356,0.05084745762711865,0.008356545961002786,0.007228915662650603,0.014354066985645933
