Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,1,37,6,0.9736842105263158,0.8604651162790697,0.8409090909090909,0.9135802469135802
0.2,1,37,6,0.9736842105263158,0.8604651162790697,0.8409090909090909,0.9135802469135802
0.3,1,37,6,0.9736842105263158,0.8604651162790697,0.8409090909090909,0.9135802469135802
0.4,1,37,6,0.9736842105263158,0.8604651162790697,0.8409090909090909,0.9135802469135802
0.5,3,35,8,0.9210526315789473,0.813953488372093,0.7608695652173914,0.8641975308641975
0.6,4,34,9,0.8947368421052632,0.7906976744186046,0.723404255319149,0.8395061728395061
0.7,12,26,17,0.6842105263157895,0.6046511627906976,0.4727272727272727,0.6419753086419753
0.8,19,19,24,0.5,0.4418604651162791,0.3064516129032258,0.4691358024691358
0.9,37,1,42,0.02631578947368421,0.023255813953488372,0.0125,0.024691358024691357
