Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,39,4,1.0,0.9069767441860465,0.9069767441860465,0.9512195121951219
0.2,0,39,4,1.0,0.9069767441860465,0.9069767441860465,0.9512195121951219
0.3,0,39,4,1.0,0.9069767441860465,0.9069767441860465,0.9512195121951219
0.4,0,39,4,1.0,0.9069767441860465,0.9069767441860465,0.9512195121951219
0.5,0,39,4,1.0,0.9069767441860465,0.9069767441860465,0.9512195121951219
0.6,2,37,6,0.9487179487179487,0.8604651162790697,0.8222222222222222,0.9024390243902439
0.7,6,33,10,0.8461538461538461,0.7674418604651163,0.673469387755102,0.8048780487804879
0.8,12,27,16,0.6923076923076923,0.627906976744186,0.4909090909090909,0.6585365853658537
0.9,34,5,38,0.1282051282051282,0.11627906976744186,0.06493506493506493,0.12195121951219512
