Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,3,215,144,0.9862385321100917,0.5988857938718662,0.5939226519337016,0.7452339688041595
0.2,21,197,162,0.9036697247706422,0.5487465181058496,0.5184210526315789,0.682842287694974
0.3,53,165,194,0.7568807339449541,0.4596100278551532,0.40048543689320387,0.5719237435008665
0.4,97,121,238,0.555045871559633,0.3370473537604457,0.26535087719298245,0.4194107452339688
0.5,126,92,267,0.42201834862385323,0.2562674094707521,0.18969072164948453,0.3188908145580589
0.6,138,80,279,0.3669724770642202,0.22284122562674094,0.16096579476861167,0.2772963604852686
0.7,159,59,300,0.2706422018348624,0.16434540389972144,0.1138996138996139,0.2045060658578856
0.8,183,35,324,0.16055045871559634,0.09749303621169916,0.06457564575645756,0.12131715771230503
0.9,209,9,350,0.04128440366972477,0.025069637883008356,0.01584507042253521,0.03119584055459272
