Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.2,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.3,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.4,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.5,1,32,11,0.9696969696969697,0.7441860465116279,0.7272727272727273,0.8421052631578947
0.6,2,31,12,0.9393939393939394,0.7209302325581395,0.6888888888888889,0.8157894736842105
0.7,5,28,15,0.8484848484848485,0.6511627906976745,0.5833333333333334,0.7368421052631579
0.8,8,25,18,0.7575757575757576,0.5813953488372093,0.49019607843137253,0.6578947368421053
0.9,20,13,30,0.3939393939393939,0.3023255813953488,0.20634920634920634,0.34210526315789475
