Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,1,47,2,0.9791666666666666,0.9591836734693877,0.94,0.9690721649484536
0.2,1,47,2,0.9791666666666666,0.9591836734693877,0.94,0.9690721649484536
0.3,2,46,3,0.9583333333333334,0.9387755102040817,0.9019607843137255,0.9484536082474226
0.4,2,46,3,0.9583333333333334,0.9387755102040817,0.9019607843137255,0.9484536082474226
0.5,3,45,4,0.9375,0.9183673469387755,0.8653846153846154,0.9278350515463918
0.6,6,42,7,0.875,0.8571428571428571,0.7636363636363637,0.865979381443299
0.7,8,40,9,0.8333333333333334,0.8163265306122449,0.7017543859649122,0.8247422680412371
0.8,22,26,23,0.5416666666666666,0.5306122448979592,0.36619718309859156,0.5360824742268041
0.9,40,8,41,0.16666666666666666,0.16326530612244897,0.0898876404494382,0.16494845360824742
