Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,103,256,1.0,0.28690807799442897,0.28690807799442897,0.4458874458874459
0.2,2,101,258,0.9805825242718447,0.28133704735376047,0.27977839335180055,0.43722943722943725
0.3,8,95,264,0.9223300970873787,0.2646239554317549,0.25885558583106266,0.41125541125541126
0.4,18,85,274,0.8252427184466019,0.23676880222841226,0.22546419098143236,0.36796536796536794
0.5,34,69,290,0.6699029126213593,0.19220055710306408,0.17557251908396945,0.2987012987012987
0.6,37,66,293,0.6407766990291263,0.18384401114206128,0.16666666666666666,0.2857142857142857
0.7,51,52,307,0.5048543689320388,0.14484679665738162,0.12682926829268293,0.22510822510822512
0.8,76,27,332,0.2621359223300971,0.07520891364902507,0.06206896551724138,0.11688311688311688
0.9,100,3,356,0.02912621359223301,0.008356545961002786,0.006535947712418301,0.012987012987012988
