Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,4,183,176,0.9786096256684492,0.5097493036211699,0.5041322314049587,0.6703296703296703
0.2,15,172,187,0.9197860962566845,0.479108635097493,0.45989304812834225,0.63003663003663
0.3,41,146,213,0.7807486631016043,0.40668523676880225,0.365,0.5347985347985348
0.4,85,102,257,0.5454545454545454,0.2841225626740947,0.22972972972972974,0.37362637362637363
0.5,114,73,286,0.39037433155080214,0.20334261838440112,0.1543340380549683,0.2673992673992674
0.6,125,62,297,0.3315508021390374,0.17270194986072424,0.128099173553719,0.2271062271062271
0.7,140,47,312,0.25133689839572193,0.1309192200557103,0.09418837675350701,0.17216117216117216
0.8,155,32,327,0.1711229946524064,0.08913649025069638,0.0622568093385214,0.11721611721611722
0.9,182,5,354,0.026737967914438502,0.013927576601671309,0.009242144177449169,0.018315018315018316
