Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,154,205,1.0,0.42896935933147634,0.42896935933147634,0.6003898635477583
0.2,2,152,207,0.987012987012987,0.4233983286908078,0.42105263157894735,0.5925925925925926
0.3,5,149,210,0.9675324675324676,0.415041782729805,0.40934065934065933,0.580896686159844
0.4,27,127,232,0.8246753246753247,0.35376044568245124,0.3290155440414508,0.4951267056530214
0.5,50,104,255,0.6753246753246753,0.28969359331476324,0.254278728606357,0.40545808966861596
0.6,71,83,276,0.538961038961039,0.23119777158774374,0.1930232558139535,0.3235867446393762
0.7,92,62,297,0.4025974025974026,0.17270194986072424,0.13747228381374724,0.24171539961013644
0.8,116,38,321,0.24675324675324675,0.10584958217270195,0.08,0.14814814814814814
0.9,150,4,355,0.025974025974025976,0.011142061281337047,0.007858546168958742,0.015594541910331383
