Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,6,191,168,0.9695431472081218,0.532033426183844,0.5232876712328767,0.6870503597122302
0.2,14,183,176,0.9289340101522843,0.5097493036211699,0.4906166219839142,0.658273381294964
0.3,44,153,206,0.7766497461928934,0.42618384401114207,0.37965260545905705,0.5503597122302158
0.4,82,115,244,0.583756345177665,0.3203342618384401,0.26077097505668934,0.4136690647482014
0.5,113,84,275,0.4263959390862944,0.233983286908078,0.17796610169491525,0.302158273381295
0.6,127,70,289,0.3553299492385787,0.19498607242339833,0.1440329218106996,0.2517985611510791
0.7,142,55,304,0.27918781725888325,0.1532033426183844,0.10978043912175649,0.19784172661870503
0.8,158,39,320,0.19796954314720813,0.10863509749303621,0.07543520309477757,0.14028776978417265
0.9,190,7,352,0.03553299492385787,0.019498607242339833,0.012750455373406194,0.025179856115107913
