Threshold,FP,TP,FN,Accuracy,F1
0.1,16.0,41.0,318.0,0.10933333333333334,0.1971153846153846
0.2,24.0,33.0,326.0,0.08616187989556136,0.15865384615384615
0.3,32.0,25.0,334.0,0.0639386189258312,0.1201923076923077
0.4,37.0,20.0,339.0,0.050505050505050504,0.09615384615384616
0.5,42.0,15.0,344.0,0.03740648379052369,0.07211538461538461
0.6,46.0,11.0,348.0,0.027160493827160494,0.052884615384615384
0.7,50.0,7.0,352.0,0.017114914425427872,0.03365384615384615
0.8,50.0,7.0,352.0,0.017114914425427872,0.03365384615384615
0.9,55.0,2.0,357.0,0.004830917874396135,0.009615384615384616
