Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.2,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.3,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.4,0,33,10,1.0,0.7674418604651163,0.7674418604651163,0.868421052631579
0.5,2,31,12,0.9393939393939394,0.7209302325581395,0.6888888888888889,0.8157894736842105
0.6,4,29,14,0.8787878787878788,0.6744186046511628,0.6170212765957447,0.7631578947368421
0.7,6,27,16,0.8181818181818182,0.627906976744186,0.5510204081632653,0.7105263157894737
0.8,9,24,19,0.7272727272727273,0.5581395348837209,0.46153846153846156,0.631578947368421
0.9,31,2,41,0.06060606060606061,0.046511627906976744,0.02702702702702703,0.05263157894736842
