Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,4,182,177,0.978494623655914,0.5069637883008357,0.5013774104683195,0.6678899082568808
0.2,15,171,188,0.9193548387096774,0.4763231197771588,0.4572192513368984,0.6275229357798165
0.3,60,126,233,0.6774193548387096,0.35097493036211697,0.30071599045346065,0.46238532110091746
0.4,97,89,270,0.478494623655914,0.2479108635097493,0.19517543859649122,0.326605504587156
0.5,125,61,298,0.3279569892473118,0.16991643454038996,0.12603305785123967,0.22385321100917432
0.6,133,53,306,0.2849462365591398,0.14763231197771587,0.10772357723577236,0.1944954128440367
0.7,146,40,319,0.21505376344086022,0.11142061281337047,0.07920792079207921,0.14678899082568808
0.8,157,29,330,0.15591397849462366,0.0807799442896936,0.0562015503875969,0.10642201834862386
0.9,179,7,352,0.03763440860215054,0.019498607242339833,0.013011152416356878,0.025688073394495414
