Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,4,40,3,0.9090909090909091,0.9302325581395349,0.851063829787234,0.9195402298850575
0.2,4,40,3,0.9090909090909091,0.9302325581395349,0.851063829787234,0.9195402298850575
0.3,4,40,3,0.9090909090909091,0.9302325581395349,0.851063829787234,0.9195402298850575
0.4,4,40,3,0.9090909090909091,0.9302325581395349,0.851063829787234,0.9195402298850575
0.5,5,39,4,0.8863636363636364,0.9069767441860465,0.8125,0.896551724137931
0.6,5,39,4,0.8863636363636364,0.9069767441860465,0.8125,0.896551724137931
0.7,11,33,10,0.75,0.7674418604651163,0.6111111111111112,0.7586206896551724
0.8,16,28,15,0.6363636363636364,0.6511627906976745,0.4745762711864407,0.6436781609195402
0.9,41,3,40,0.06818181818181818,0.06976744186046512,0.03571428571428571,0.06896551724137931
