Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,12,211,148,0.9461883408071748,0.5877437325905293,0.568733153638814,0.7250859106529209
0.2,24,199,160,0.8923766816143498,0.5543175487465181,0.5195822454308094,0.6838487972508591
0.3,55,168,191,0.7533632286995515,0.467966573816156,0.4057971014492754,0.5773195876288659
0.4,92,131,228,0.5874439461883408,0.3649025069637883,0.29046563192904656,0.45017182130584193
0.5,126,97,262,0.4349775784753363,0.27019498607242337,0.2,0.3333333333333333
0.6,151,72,287,0.32286995515695066,0.20055710306406685,0.1411764705882353,0.24742268041237114
0.7,166,57,302,0.2556053811659193,0.15877437325905291,0.10857142857142857,0.1958762886597938
0.8,190,33,326,0.14798206278026907,0.09192200557103064,0.060109289617486336,0.1134020618556701
0.9,221,2,357,0.008968609865470852,0.005571030640668524,0.0034482758620689655,0.006872852233676976
