Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,1,46,3,0.9787234042553191,0.9387755102040817,0.92,0.9583333333333334
0.2,1,46,3,0.9787234042553191,0.9387755102040817,0.92,0.9583333333333334
0.3,2,45,4,0.9574468085106383,0.9183673469387755,0.8823529411764706,0.9375
0.4,2,45,4,0.9574468085106383,0.9183673469387755,0.8823529411764706,0.9375
0.5,3,44,5,0.9361702127659575,0.8979591836734694,0.8461538461538461,0.9166666666666666
0.6,6,41,8,0.8723404255319149,0.8367346938775511,0.7454545454545455,0.8541666666666666
0.7,8,39,10,0.8297872340425532,0.7959183673469388,0.6842105263157895,0.8125
0.8,21,26,23,0.5531914893617021,0.5306122448979592,0.37142857142857144,0.5416666666666666
0.9,39,8,41,0.1702127659574468,0.16326530612244897,0.09090909090909091,0.16666666666666666
