Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.2,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.3,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.4,0,40,3,1.0,0.9302325581395349,0.9302325581395349,0.963855421686747
0.5,3,37,6,0.925,0.8604651162790697,0.8043478260869565,0.891566265060241
0.6,5,35,8,0.875,0.813953488372093,0.7291666666666666,0.8433734939759037
0.7,10,30,13,0.75,0.6976744186046512,0.5660377358490566,0.7228915662650602
0.8,16,24,19,0.6,0.5581395348837209,0.4067796610169492,0.5783132530120482
0.9,38,2,41,0.05,0.046511627906976744,0.024691358024691357,0.04819277108433735
