Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,3,42,1,0.9333333333333333,0.9767441860465116,0.9130434782608695,0.9545454545454546
0.2,3,42,1,0.9333333333333333,0.9767441860465116,0.9130434782608695,0.9545454545454546
0.3,3,42,1,0.9333333333333333,0.9767441860465116,0.9130434782608695,0.9545454545454546
0.4,4,41,2,0.9111111111111111,0.9534883720930233,0.8723404255319149,0.9318181818181818
0.5,4,41,2,0.9111111111111111,0.9534883720930233,0.8723404255319149,0.9318181818181818
0.6,5,40,3,0.8888888888888888,0.9302325581395349,0.8333333333333334,0.9090909090909091
0.7,7,38,5,0.8444444444444444,0.8837209302325582,0.76,0.8636363636363636
0.8,18,27,16,0.6,0.627906976744186,0.4426229508196721,0.6136363636363636
0.9,38,7,36,0.15555555555555556,0.16279069767441862,0.08641975308641975,0.1590909090909091
