Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,8,204,155,0.9622641509433962,0.5682451253481894,0.555858310626703,0.7145359019264448
0.2,17,195,164,0.9198113207547169,0.5431754874651811,0.5186170212765957,0.6830122591943958
0.3,51,161,198,0.7594339622641509,0.44846796657381616,0.3926829268292683,0.563922942206655
0.4,90,122,237,0.5754716981132075,0.3398328690807799,0.2717149220489978,0.4273204903677758
0.5,124,88,271,0.41509433962264153,0.24512534818941503,0.18219461697722567,0.30823117338003503
0.6,140,72,287,0.33962264150943394,0.20055710306406685,0.14428857715430862,0.2521891418563923
0.7,157,55,304,0.25943396226415094,0.1532033426183844,0.1065891472868217,0.19264448336252188
0.8,173,39,320,0.18396226415094338,0.10863509749303621,0.07330827067669173,0.13660245183887915
0.9,205,7,352,0.0330188679245283,0.019498607242339833,0.012411347517730497,0.024518388791593695
