Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,0,42,1,1.0,0.9767441860465116,0.9767441860465116,0.9882352941176471
0.2,0,42,1,1.0,0.9767441860465116,0.9767441860465116,0.9882352941176471
0.3,0,42,1,1.0,0.9767441860465116,0.9767441860465116,0.9882352941176471
0.4,0,42,1,1.0,0.9767441860465116,0.9767441860465116,0.9882352941176471
0.5,1,41,2,0.9761904761904762,0.9534883720930233,0.9318181818181818,0.9647058823529412
0.6,3,39,4,0.9285714285714286,0.9069767441860465,0.8478260869565217,0.9176470588235294
0.7,6,36,7,0.8571428571428571,0.8372093023255814,0.7346938775510204,0.8470588235294118
0.8,11,31,12,0.7380952380952381,0.7209302325581395,0.5740740740740741,0.7294117647058823
0.9,25,17,26,0.40476190476190477,0.3953488372093023,0.25,0.4
