Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,37,42,1,0.5316455696202531,0.9767441860465116,0.525,0.6885245901639344
0.2,37,42,1,0.5316455696202531,0.9767441860465116,0.525,0.6885245901639344
0.3,39,40,3,0.5063291139240507,0.9302325581395349,0.4878048780487805,0.6557377049180327
0.4,40,39,4,0.4936708860759494,0.9069767441860465,0.46987951807228917,0.639344262295082
0.5,51,28,15,0.35443037974683544,0.6511627906976745,0.2978723404255319,0.45901639344262296
0.6,60,19,24,0.24050632911392406,0.4418604651162791,0.18446601941747573,0.3114754098360656
0.7,71,8,35,0.10126582278481013,0.18604651162790697,0.07017543859649122,0.13114754098360656
0.8,78,1,42,0.012658227848101266,0.023255813953488372,0.008264462809917356,0.01639344262295082
0.9,79,0,43,0.0,0.0,0.0,0.0
