Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,15,43,0,0.7413793103448276,1.0,0.7413793103448276,0.8514851485148515
0.2,15,43,0,0.7413793103448276,1.0,0.7413793103448276,0.8514851485148515
0.3,15,43,0,0.7413793103448276,1.0,0.7413793103448276,0.8514851485148515
0.4,15,43,0,0.7413793103448276,1.0,0.7413793103448276,0.8514851485148515
0.5,16,42,1,0.7241379310344828,0.9767441860465116,0.711864406779661,0.8316831683168316
0.6,16,42,1,0.7241379310344828,0.9767441860465116,0.711864406779661,0.8316831683168316
0.7,23,35,8,0.603448275862069,0.813953488372093,0.5303030303030303,0.693069306930693
0.8,28,30,13,0.5172413793103449,0.6976744186046512,0.4225352112676056,0.594059405940594
0.9,55,3,40,0.05172413793103448,0.06976744186046512,0.030612244897959183,0.0594059405940594
