Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,179,259,100,0.591324200913242,0.7214484679665738,0.48141263940520446,0.6499372647427855
0.2,238,200,159,0.45662100456621,0.5571030640668524,0.33500837520938026,0.5018820577164367
0.3,320,118,241,0.2694063926940639,0.3286908077994429,0.17378497790868924,0.2961104140526976
0.4,386,52,307,0.1187214611872146,0.14484679665738162,0.0697986577181208,0.13048933500627352
0.5,415,23,336,0.05251141552511415,0.06406685236768803,0.029715762273901807,0.05771643663739021
0.6,430,8,351,0.0182648401826484,0.022284122562674095,0.010139416983523447,0.020075282308657464
0.7,435,3,356,0.00684931506849315,0.008356545961002786,0.003778337531486146,0.0075282308657465494
0.8,438,0,359,0.0,0.0,0.0,0.0
0.9,438,0,359,0.0,0.0,0.0,0.0
