Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,159,251,108,0.6121951219512195,0.6991643454038997,0.48455598455598453,0.6527958387516255
0.2,201,209,150,0.5097560975609756,0.5821727019498607,0.3732142857142857,0.5435630689206762
0.3,268,142,217,0.3463414634146341,0.3955431754874652,0.22647527910685805,0.3693107932379714
0.4,324,86,273,0.2097560975609756,0.2395543175487465,0.1259150805270864,0.22366710013003901
0.5,366,44,315,0.1073170731707317,0.12256267409470752,0.060689655172413794,0.11443433029908973
0.6,392,18,341,0.04390243902439024,0.05013927576601671,0.023968042609853527,0.04681404421326398
0.7,407,3,356,0.007317073170731708,0.008356545961002786,0.0039164490861618795,0.007802340702210663
0.8,410,0,359,0.0,0.0,0.0,0.0
0.9,410,0,359,0.0,0.0,0.0,0.0
