Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,21,259,100,0.925,0.7214484679665738,0.6815789473684211,0.810641627543036
0.2,35,245,114,0.875,0.6824512534818942,0.6218274111675127,0.7668231611893583
0.3,67,213,146,0.7607142857142857,0.5933147632311978,0.5,0.6666666666666666
0.4,108,172,187,0.6142857142857143,0.479108635097493,0.3683083511777302,0.5383411580594679
0.5,150,130,229,0.4642857142857143,0.362116991643454,0.2554027504911591,0.40688575899843504
0.6,184,96,263,0.34285714285714286,0.26740947075208915,0.17679558011049723,0.3004694835680751
0.7,205,75,284,0.26785714285714285,0.20891364902506965,0.13297872340425532,0.2347417840375587
0.8,234,46,313,0.16428571428571428,0.12813370473537605,0.0775716694772344,0.14397496087636932
0.9,278,2,357,0.007142857142857143,0.005571030640668524,0.0031397174254317113,0.006259780907668232
