Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,3,273,86,0.9891304347826086,0.7604456824512534,0.7541436464088398,0.8598425196850393
0.2,5,271,88,0.9818840579710145,0.754874651810585,0.7445054945054945,0.8535433070866142
0.3,10,266,93,0.9637681159420289,0.7409470752089137,0.7208672086720868,0.8377952755905512
0.4,42,234,125,0.8478260869565217,0.6518105849582173,0.5835411471321695,0.7370078740157481
0.5,81,195,164,0.7065217391304348,0.5431754874651811,0.4431818181818182,0.6141732283464567
0.6,117,159,200,0.5760869565217391,0.4428969359331476,0.33403361344537813,0.5007874015748032
0.7,160,116,243,0.42028985507246375,0.3231197771587744,0.22350674373795762,0.3653543307086614
0.8,209,67,292,0.2427536231884058,0.18662952646239556,0.11795774647887323,0.2110236220472441
0.9,267,9,350,0.03260869565217391,0.025069637883008356,0.01437699680511182,0.028346456692913385
