Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,21,264,95,0.9263157894736842,0.7353760445682451,0.6947368421052632,0.8198757763975155
0.2,57,228,131,0.8,0.6350974930362117,0.5480769230769231,0.7080745341614907
0.3,89,196,163,0.6877192982456141,0.5459610027855153,0.4375,0.6086956521739131
0.4,131,154,205,0.5403508771929825,0.42896935933147634,0.3142857142857143,0.4782608695652174
0.5,169,116,243,0.4070175438596491,0.3231197771587744,0.2196969696969697,0.36024844720496896
0.6,193,92,267,0.32280701754385965,0.2562674094707521,0.16666666666666666,0.2857142857142857
0.7,219,66,293,0.23157894736842105,0.18384401114206128,0.11418685121107267,0.20496894409937888
0.8,240,45,314,0.15789473684210525,0.12534818941504178,0.07512520868113523,0.13975155279503104
0.9,273,12,347,0.042105263157894736,0.033426183844011144,0.0189873417721519,0.037267080745341616
