Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,13,240,119,0.9486166007905138,0.6685236768802229,0.6451612903225806,0.7843137254901961
0.2,25,228,131,0.9011857707509882,0.6350974930362117,0.59375,0.7450980392156863
0.3,57,196,163,0.7747035573122529,0.5459610027855153,0.47115384615384615,0.6405228758169934
0.4,103,150,209,0.5928853754940712,0.4178272980501393,0.3246753246753247,0.49019607843137253
0.5,140,113,246,0.44664031620553357,0.3147632311977716,0.22645290581162325,0.369281045751634
0.6,155,98,261,0.38735177865612647,0.27298050139275765,0.19066147859922178,0.3202614379084967
0.7,182,71,288,0.28063241106719367,0.1977715877437326,0.13123844731977818,0.23202614379084968
0.8,205,48,311,0.18972332015810275,0.13370473537604458,0.0851063829787234,0.1568627450980392
0.9,244,9,350,0.03557312252964427,0.025069637883008356,0.014925373134328358,0.029411764705882353
