Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,17,242,117,0.9343629343629344,0.6740947075208914,0.6436170212765957,0.7831715210355987
0.2,32,227,132,0.8764478764478765,0.6323119777158774,0.5805626598465473,0.7346278317152104
0.3,64,195,164,0.752895752895753,0.5431754874651811,0.46099290780141844,0.6310679611650486
0.4,103,156,203,0.6023166023166023,0.43454038997214484,0.33766233766233766,0.5048543689320388
0.5,137,122,237,0.47104247104247104,0.3398328690807799,0.24596774193548387,0.3948220064724919
0.6,165,94,265,0.36293436293436293,0.2618384401114206,0.17938931297709923,0.3042071197411003
0.7,194,65,294,0.25096525096525096,0.181058495821727,0.11754068716094032,0.21035598705501618
0.8,225,34,325,0.13127413127413126,0.0947075208913649,0.05821917808219178,0.11003236245954692
0.9,252,7,352,0.02702702702702703,0.019498607242339833,0.011456628477905073,0.022653721682847898
