Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,2,42,1,0.9545454545454546,0.9767441860465116,0.9333333333333333,0.9655172413793104
0.2,2,42,1,0.9545454545454546,0.9767441860465116,0.9333333333333333,0.9655172413793104
0.3,2,42,1,0.9545454545454546,0.9767441860465116,0.9333333333333333,0.9655172413793104
0.4,2,42,1,0.9545454545454546,0.9767441860465116,0.9333333333333333,0.9655172413793104
0.5,4,40,3,0.9090909090909091,0.9302325581395349,0.851063829787234,0.9195402298850575
0.6,8,36,7,0.8181818181818182,0.8372093023255814,0.7058823529411765,0.8275862068965517
0.7,12,32,11,0.7272727272727273,0.7441860465116279,0.5818181818181818,0.735632183908046
0.8,24,20,23,0.45454545454545453,0.46511627906976744,0.29850746268656714,0.45977011494252873
0.9,43,1,42,0.022727272727272728,0.023255813953488372,0.011627906976744186,0.022988505747126436
