Threshold,FP,TP,FN,Precision,Recall,Accuracy,F1
0.1,41,42,1,0.5060240963855421,0.9767441860465116,0.5,0.6666666666666666
0.2,42,41,2,0.4939759036144578,0.9534883720930233,0.4823529411764706,0.6507936507936508
0.3,44,39,4,0.46987951807228917,0.9069767441860465,0.4482758620689655,0.6190476190476191
0.4,51,32,11,0.3855421686746988,0.7441860465116279,0.3404255319148936,0.5079365079365079
0.5,56,27,16,0.3253012048192771,0.627906976744186,0.2727272727272727,0.42857142857142855
0.6,62,21,22,0.25301204819277107,0.4883720930232558,0.2,0.3333333333333333
0.7,72,11,32,0.13253012048192772,0.2558139534883721,0.09565217391304348,0.1746031746031746
0.8,82,1,42,0.012048192771084338,0.023255813953488372,0.008,0.015873015873015872
0.9,82,1,42,0.012048192771084338,0.023255813953488372,0.008,0.015873015873015872
