Wall time,Step,Value
1610096883.450944,0,7.2743988037109375
1610097087.181305,1,5.1785993576049805
1610097289.385713,2,4.57868766784668
1610097487.429614,3,4.62588357925415
1610097682.311483,4,4.399346828460693
1610097881.970178,5,4.3205695152282715
1610098063.896469,6,4.4498209953308105
1610098236.848828,7,4.007435321807861
1610098409.505547,8,3.5594112873077393
1610098582.070004,9,3.278930425643921
1610098754.323739,10,3.2477550506591797
1610098927.820206,11,3.273691177368164
1610099100.186406,12,3.056661605834961
1610099273.07044,13,3.1588704586029053
1610099443.126269,14,2.9145002365112305
1610099615.495278,15,2.8466861248016357
1610099787.404248,16,2.6825952529907227
1610099960.222289,17,2.908078908920288
1610100132.819443,18,2.7153329849243164
1610100304.475531,19,2.79323673248291
1610100476.108979,20,2.6152267456054688
1610100647.153702,21,2.4508142471313477
1610100817.349078,22,2.3776695728302
1610100991.765173,23,2.4770326614379883
1610101163.509049,24,2.555877447128296
1610101337.404005,25,2.6982617378234863
1610101510.703355,26,2.6591873168945312
1610101682.785487,27,2.569643974304199
1610101856.923187,28,2.815938711166382
1610102028.620492,29,2.638946533203125
1610102201.568519,30,2.582137107849121
1610102374.735128,31,2.589116096496582
1610102547.216555,32,2.569493055343628
1610102719.457363,33,2.562706708908081
1610102891.215654,34,2.341151237487793
1610103064.274276,35,2.4745514392852783
1610103236.470024,36,2.351708173751831
1610103410.231329,37,2.474316358566284
1610103583.332298,38,2.3946645259857178
1610103754.533431,39,2.347569704055786
1610103926.822279,40,2.2614736557006836
1610104098.788997,41,2.407252550125122
1610104270.97791,42,2.323162078857422
1610104443.998198,43,2.445425510406494
1610104616.23555,44,2.282649278640747
1610104787.721308,45,2.1552679538726807
1610104960.247847,46,2.188495397567749
1610105131.99998,47,2.271895170211792
1610105305.427463,48,2.2606043815612793
1610105477.688055,49,1.9180923700332642
1610105650.82418,50,2.1141324043273926
1610105823.471832,51,2.162353515625
1610105995.725815,52,2.176616907119751
1610106166.440884,53,2.102801561355591
1610106339.28238,54,2.0057432651519775
1610106512.696127,55,1.996321678161621
1610106684.336881,56,1.876163363456726
1610106857.572285,57,2.049710512161255
1610107028.243777,58,1.9205223321914673
1610107199.340276,59,1.9583646059036255
1610107369.984074,60,1.9726784229278564
1610107542.036633,61,1.8880839347839355
1610107712.409841,62,2.1215944290161133
1610107883.324116,63,1.986761450767517
1610108054.201268,64,2.0470168590545654
1610108225.077247,65,1.9336695671081543
1610108394.511783,66,1.8382561206817627
1610108564.940621,67,1.742041826248169
1610108735.421087,68,1.843483567237854
1610108905.750791,69,1.8761695623397827
1610109078.266885,70,1.8363847732543945
1610109247.743907,71,1.6953468322753906
1610109419.158381,72,1.8877921104431152
1610109589.550861,73,1.7597534656524658
1610109760.283306,74,1.7274425029754639
1610109931.515152,75,1.6856611967086792
1610110102.418161,76,1.657942533493042
1610110274.147676,77,1.7831600904464722
1610110446.027819,78,1.7387844324111938
1610110619.326398,79,1.9172356128692627
1610110791.073057,80,1.819767951965332
1610110963.058034,81,1.7325854301452637
1610111133.56408,82,1.722244143486023
1610111306.530016,83,1.810221552848816
1610111477.436583,84,1.5524640083312988
1610111650.083741,85,1.806755542755127
1610111820.51218,86,1.6632080078125
1610111991.053105,87,1.7381449937820435
1610112162.45664,88,1.7010608911514282
1610112331.903754,89,1.602211594581604
1610112502.495486,90,1.690733790397644
1610112672.814837,91,1.640803337097168
1610112844.98972,92,1.6544365882873535
1610113015.690466,93,1.6596174240112305
1610113186.650015,94,1.6165696382522583
1610113358.041883,95,1.588579535484314
1610113529.00851,96,1.6033892631530762
1610113701.172506,97,1.546793818473816
1610113873.94563,98,1.609608769416809
1610114043.270616,99,1.4500213861465454
1610114215.44673,100,1.5431779623031616
1610114386.028692,101,1.4849658012390137
1610114557.677756,102,1.5961209535598755
1610114728.777228,103,1.5916928052902222
1610114900.779287,104,1.6041332483291626
1610115072.195008,105,1.5187628269195557
1610115242.445682,106,1.4873279333114624
1610115417.460145,107,1.721590280532837
1610115590.023829,108,1.5016098022460938
1610115764.787539,109,1.6362359523773193
1610115937.257551,110,1.6071721315383911
1610116111.07177,111,1.694245457649231
1610116284.435011,112,1.6315240859985352
1610116456.061523,113,1.5553010702133179
1610116628.163245,114,1.5935932397842407
1610116799.124142,115,1.525253176689148
1610116971.875519,116,1.5874136686325073
1610117145.772189,117,1.5533740520477295
1610117319.63757,118,1.5787380933761597
1610117494.059666,119,1.5471141338348389
1610117669.208779,120,1.6903835535049438
1610117841.630447,121,1.562312126159668
1610118015.714294,122,1.565995693206787
1610118190.579247,123,1.5292997360229492
1610118362.869404,124,1.5143104791641235
1610118536.065934,125,1.5401201248168945
1610118707.681488,126,1.5455906391143799
1610118880.060951,127,1.5504984855651855
1610119051.997337,128,1.6204884052276611
1610119224.281212,129,1.4248881340026855
1610119397.567073,130,1.4087016582489014
1610119569.165862,131,1.5201900005340576
1610119741.040869,132,1.5687931776046753
1610119911.689838,133,1.5875158309936523
1610120084.210613,134,1.564320683479309
1610120256.282704,135,1.4721869230270386
1610120426.386119,136,1.5112839937210083
1610120597.225283,137,1.4561700820922852
1610120769.278231,138,1.4683821201324463
1610120938.544737,139,1.592470645904541
1610121111.396839,140,1.5664247274398804
1610121282.044189,141,1.428343653678894
1610121452.939289,142,1.4529242515563965
1610121626.315437,143,1.53298020362854
1610121797.425958,144,1.6327121257781982
1610121967.724919,145,1.3216361999511719
1610122139.886147,146,1.5003973245620728
1610122311.785069,147,1.4917593002319336
1610122483.466724,148,1.3273221254348755
1610122656.017721,149,1.4407212734222412
1610122830.17913,150,1.4072421789169312
1610123001.737565,151,1.376753568649292
1610123172.709314,152,1.4150503873825073
1610123344.91956,153,1.3016417026519775
1610123518.82457,154,1.4020744562149048
1610123691.753633,155,1.5278068780899048
1610123862.15181,156,1.2153065204620361
1610124035.575938,157,1.434826374053955
1610124210.265024,158,1.3457027673721313
1610124383.94393,159,1.319042682647705
1610124554.191376,160,1.3579871654510498
1610124724.251726,161,1.3016996383666992
1610124894.0503,162,1.3683865070343018
1610125065.059617,163,1.4290965795516968
1610125235.489382,164,1.327704906463623
1610125406.359895,165,1.4340012073516846
1610125577.171477,166,1.4550021886825562
1610125749.260281,167,1.3679884672164917
1610125921.514851,168,1.3407341241836548
1610126093.88072,169,1.3190388679504395
1610126266.709083,170,1.6091936826705933
1610126437.453324,171,1.3681057691574097
1610126607.903009,172,1.383437156677246
1610126778.609203,173,1.3353935480117798
1610126948.57085,174,1.2473995685577393
1610127118.701838,175,1.360827922821045
1610127290.676543,176,1.3130581378936768
1610127463.729911,177,1.4211503267288208
1610127636.632365,178,1.3813538551330566
1610127808.177482,179,1.3720897436141968
1610127980.53356,180,1.289000391960144
1610128152.396759,181,1.4483506679534912
1610128323.848762,182,1.335378885269165
1610128496.39818,183,1.275441288948059
1610128668.32181,184,1.2354527711868286
1610128840.639258,185,1.3486924171447754
1610129011.696484,186,1.266201138496399
1610129184.287677,187,1.3142762184143066
1610129353.485012,188,1.1998355388641357
1610129526.027141,189,1.3782631158828735
1610129697.826938,190,1.237785816192627
1610129871.48944,191,1.2869071960449219
1610130042.125824,192,1.1988638639450073
1610130214.123361,193,1.310022234916687
1610130386.408804,194,1.2892242670059204
1610130558.099197,195,1.3168156147003174
1610130730.71284,196,1.268892765045166
1610130901.509593,197,1.2668501138687134
1610131073.358081,198,1.2977294921875
1610131242.751479,199,1.4197616577148438
1610131406.292601,200,1.1974681615829468
1610131569.430074,201,1.1093096733093262
1610131732.803021,202,1.169384479522705
1610131896.431414,203,1.1250278949737549
1610132058.770281,204,1.1020710468292236
1610132222.543455,205,1.1300922632217407
1610132386.104817,206,1.0711723566055298
1610132549.730354,207,1.1033961772918701
1610132711.310052,208,1.0801684856414795
1610132873.074858,209,1.1285282373428345
1610133034.769676,210,1.077789545059204
1610133197.456565,211,1.1161054372787476
1610133361.255763,212,1.0891777276992798
1610133522.923974,213,1.0867650508880615
1610133685.1106,214,1.1322081089019775
1610133848.410903,215,1.1274383068084717
1610134010.831998,216,1.105086326599121
1610134176.747514,217,1.0927765369415283
1610134340.590363,218,1.0794718265533447
1610134504.26926,219,1.1114873886108398
1610134666.861992,220,1.0872567892074585
1610134828.500235,221,1.1148594617843628
1610135000.364197,222,1.109755039215088
1610135168.139627,223,1.066643238067627
1610135338.218234,224,1.0650370121002197
1610135507.829806,225,1.0830738544464111
1610135675.531281,226,1.039485216140747
1610135846.001938,227,1.106522798538208
1610136014.768159,228,1.1292614936828613
1610136185.762994,229,1.0477288961410522
1610136346.570428,230,1.0668025016784668
1610136508.240655,231,1.0492526292800903
1610136666.750912,232,1.0598405599594116
1610136827.00757,233,0.9937286376953125
1610136988.01998,234,1.010630488395691
1610137149.72109,235,1.1084824800491333
1610137312.053072,236,1.044510006904602
1610137474.478783,237,1.077560544013977
1610137637.143346,238,1.0808542966842651
1610137800.682211,239,1.1285510063171387
1610137962.739595,240,1.094983458518982
1610138124.117733,241,1.0327469110488892
1610138284.401859,242,1.0748085975646973
1610138445.954056,243,1.0249122381210327
1610138715.740173,244,1.0468424558639526
1610138893.515596,245,1.1084105968475342
1610139052.7651,246,0.9710222482681274
