Wall time,Step,Value
1614807802.545618,0,1.4233276844024658
1614808608.901829,1,1.1445612907409668
1614809411.540578,2,0.9637392163276672
1614810217.586836,3,0.880119800567627
1614811021.26784,4,0.896338939666748
1614811825.736234,5,0.7938705682754517
1614812629.123745,6,0.7502142190933228
1614813435.487094,7,0.7131059169769287
1614814248.059336,8,0.7139750123023987
1614815056.289271,9,0.6705071330070496
1614815872.504226,10,0.6991124749183655
1614816684.988223,11,0.6631256937980652
1614817487.896824,12,0.6860718727111816
1614818308.547252,13,0.625956654548645
1614819107.220364,14,0.6420100927352905
1614819911.403206,15,0.6268670558929443
1614820719.467801,16,0.6148847937583923
1614821529.614636,17,0.6267188787460327
1614822334.611732,18,0.5964750647544861
1614823143.248739,19,0.7553655505180359
1614823951.908349,20,0.6532673835754395
1614824754.483848,21,0.5631230473518372
1614825558.490931,22,0.5824841856956482
1614826372.604072,23,0.5737064480781555
1614827182.924793,24,0.5650357604026794
1614827996.807864,25,0.5674598813056946
1614828814.707536,26,0.5793961882591248
1614829640.374947,27,0.5725263953208923
1614830446.490794,28,0.5668228268623352
1614831247.413774,29,0.5528437495231628
1614832060.243736,30,0.5399882793426514
1614832869.502042,31,0.5519864559173584
1614833677.311056,32,0.5473124980926514
1614834487.910808,33,0.5541658997535706
1614835298.899208,34,0.5838435888290405
1614836114.494681,35,0.5243579149246216
1614836927.308359,36,0.5255869030952454
1614837740.19009,37,0.5431305766105652
1614838548.910199,38,0.5971642136573792
1614839362.005792,39,0.5344377756118774
1614840185.281684,40,0.50959312915802
1614841007.395518,41,0.5100504159927368
1614841832.679338,42,0.5297023057937622
1614842642.900962,43,0.5454277396202087
1614843451.87756,44,0.5209336280822754
1614844273.390346,45,0.5117864012718201
1614845095.952238,46,0.49871066212654114
1614845909.985459,47,0.5241599678993225
1614846722.787662,48,0.5206538438796997
1614847538.651753,49,0.5257633328437805
1614848342.163578,50,0.49316006898880005
1614849154.592713,51,0.5091562867164612
1614849966.604297,52,0.5009601712226868
1614850765.094883,53,0.5202224850654602
1614851566.888615,54,0.5108274221420288
1614852371.499341,55,0.5144395232200623
1614853182.840886,56,0.523171067237854
1614853990.008241,57,0.49143120646476746
1614854809.623102,58,0.491487056016922
1614855619.518868,59,0.48536431789398193
1614856429.723118,60,0.5022318959236145
1614857245.634116,61,0.4912484288215637
1614858066.251096,62,0.484113872051239
1614858880.837378,63,0.5002385973930359
1614859687.933087,64,0.48802971839904785
1614860505.297019,65,0.497646301984787
1614861322.367883,66,0.5042808651924133
1614862131.616407,67,0.49337923526763916
1614862934.026904,68,0.4815900921821594
1614863745.499877,69,0.4844709038734436
1614864559.789246,70,0.4969846308231354
1614865369.985355,71,0.4758833050727844
1614866177.024824,72,0.4874342679977417
1614866983.760098,73,0.5282783508300781
1614867805.959633,74,0.46949344873428345
1614868613.67665,75,0.4754981994628906
1614869421.069516,76,0.4727984666824341
1614870229.503773,77,0.5748623013496399
1614871049.034105,78,0.470943421125412
1614871867.809601,79,0.471383661031723
1614872680.380854,80,0.4719744622707367
1614873487.677148,81,0.4752168655395508
1614874300.901564,82,0.46112486720085144
1614875116.906753,83,0.4761373996734619
1614875929.573938,84,0.4717883765697479
1614876752.785467,85,0.4659450054168701
1614877594.492086,86,0.4661239981651306
1614878421.200204,87,0.4774647653102875
1614879245.201841,88,0.452426940202713
1614880057.478358,89,0.46424010396003723
1614880872.617764,90,0.4629170596599579
1614881709.124728,91,0.4750627875328064
1614882523.590693,92,0.45254313945770264
1614883333.068284,93,0.45045483112335205
1614884139.422755,94,0.4447295367717743
1614884943.182865,95,0.45621439814567566
1614885748.985946,96,0.481933057308197
1614886560.705007,97,0.4614911675453186
1614887363.796331,98,0.46772316098213196
1614888169.578047,99,0.47088199853897095
1614888984.881033,100,0.45123887062072754
1614889806.797357,101,0.4375567138195038
1614890624.865409,102,0.45173144340515137
1614891435.826248,103,0.45496371388435364
1614892253.046931,104,0.4748402535915375
1614893079.722881,105,0.46577614545822144
1614893889.093737,106,0.45051223039627075
1614894701.794752,107,0.4560716152191162
1614895518.355697,108,0.4563278555870056
1614896330.491024,109,0.46084868907928467
1614897157.135299,110,0.4404095411300659
1614897984.011184,111,0.444192111492157
1614898823.98661,112,0.43049266934394836
1614899683.024115,113,0.44193944334983826
1614900537.178014,114,0.4524538815021515
1614901389.783242,115,0.4522458612918854
1614902236.999248,116,0.44940051436424255
1614903093.000376,117,0.4495548605918884
1614903957.789134,118,0.4500560462474823
1614904826.391411,119,0.4450167119503021
1614905680.776597,120,0.4519621729850769
1614906513.553387,121,0.43915078043937683
1614907354.963319,122,0.5037288069725037
1614908187.148358,123,0.4495890736579895
